Type,First Name,Last Name,Company,Email,Phone,Phone 2,Fax,Address,Address 2,City,State,Zip,APN,Property Address,Property City,Property County,Property State,Property Zip,Property Size,Short Legal Description,Offer Amount,Market Value,Assessed Value,Repair Estimate,Back Taxes
Individual,DANIEL F,ANDERSON,,,,,,388 STEMBRIDGE RD SE,,MILLEDGEVILLE,GA,31061,048   048, WALLACE TATUM RD,CUMMING,Forsyth,GA,30028,6.59,3-1 369-424 ,,,152760,,
Individual,ENOCH LEE JR,ANDERSON,,,,,,937 CHERRY ST,,ALCOA,TN,37701,282   007,5595 CROW DR,CUMMING,Forsyth,GA,30041,1,14-1 765 TRACT 5 .16 TO FC/ROW----1996,,,28600,,
Individual,ENOCH LEE JR,ANDERSON,,,,,,937 CHERRY ST,,ALCOA,TN,37701,282   007T001,5595 CROW DR,CUMMING,Forsyth,GA,30041,,MH ,,,5300,,
Individual,GROVER S,ANDERSON,,,,,,388 STEMBRIDGE RD SE,,MILLEDGEVILLE,GA,31061,125   025,1009 CANTON HWY,CUMMING,Forsyth,GA,30040,6.66,3-1 1029 ,,,213120,,
Company,,,ANDREWS DEMETRIUS LLC,,,,,9820 QUEENSWAY BLVD,,MYRTLE BEACH,SC,29572,152   015, BUFORD RD,CUMMING,Forsyth,GA,30041,0.97,2-1 225 ,,,25000,,
Company,,,ANSLEY HAW CREEK LLC,,,,,675 SEMINOLE AVE,STE 301,ATLANTA,GA,30307,C23   041,100 CHARLES PL,CUMMING,Forsyth,GA,30040,9.7,3-1 1123-1124 ,,,970000,,5214.88
Company,,,ANSLEY HAW CREEK LLC,,,,,675 SEMINOLE AVE,STE 301,ATLANTA,GA,30307,C23   085, DAHLONEGA HWY,CUMMING,Forsyth,GA,30040,0.32,3-1 1109-1110 ,,,100000,,526.08
Company,,,ANSLEY HAW CREEK LLC,,,,,675 SEMINOLE AVE,STE 301,ATLANTA,GA,30307,C23   086, FRANKLIN WAY,CUMMING,Forsyth,GA,30040,0.34,3-1 1109-1110 LOT 32 NORT ,,,45000,,526.08
Company,,,ARCHLAND PROPERTY I LLC,,,,,PO BOX 182571,,COLUMBUS,OH,43218,018   038, FRANCIS RD,ALPHARETTA,Forsyth,GA,30004,0.68,2-1 611 DRAIN FIELD TRACT ,,,200000,,
Individual,WILLIAM N,ARNOLD,,,,,,1070 HONOR RUN,,ALPHARETTA,GA,30005,313   455, QUAIL TRL,GAINESVILLE,Forsyth,GA,30506,0.11,14-1 1326 LT 49 PEBBLEBRO ,,,25000,,217.61
Company,,,ARTISCRAFT LLC,,,,,PO BOX 1652,,CUMMING,GA,30028,322   106, LAKEVIEW CT,GAINESVILLE,Forsyth,GA,30506,0.34,14-1 1338 LT 71 LAKE HARBOR SHORES ,,,12500,,115.05
Company,,,ARTISCRAFT LLC,,,,,PO BOX 1652,,CUMMING,GA,30028,322   107, LAKEVIEW CT,GAINESVILLE,Forsyth,GA,30506,0.34,14-1 1338 LT 70 LAKE HARBOR SHORES ,,,12500,,115.05
Individual,DANIEL D,ASHCRAFT,,,,,,862 GRESHAM RD,,DOUGLASVILLE,GA,30134,313   283, QUAIL TRL,,Forsyth,GA,,0.12,14-1 1326 LT 256 PEBBLEBR OOK SHORES,,,25000,,
Individual,FATEMEH,ASSARI,,,,,,20909 AVENUE SAN LUIS,,WOODLAND HILLS,CA,91364,106   074,2820 ATLANTA HWY,CUMMING,Forsyth,GA,30040,1.28,2-1 413 ,,,150840,,
Company,,,ATKINSON TRUST LLC (THE),,,,,4405 GREENWAY,,BALTIMORE,MD,21218,243   229, PILGRIM MILL RD,CUMMING,Forsyth,GA,30041,1.29,14-1 291 TRCT 3 ,,,45000,,
Company,,,ATKINSON TRUST LLC (THE),,,,,4405 GREENWAY,,BALTIMORE,MD,21218,291   144,7815 TRAILSIDE WAY,GAINESVILLE,Forsyth,GA,30506,0.61,14-1 1048 LT 26 CHESTATEE CROSSING,,,35000,,
Company,,,ATKINSON TRUST LLC (THE),,,,,4405 GREENWAY,,BALTIMORE,MD,21218,323   149,4830 CHESTATEE HEIGHTS RD,GAINESVILLE,Forsyth,GA,30506,0.99,14-1 1323-1340 LT 44 LANIER FOREST ,,,27000,,
Company,,,ATKINSON TRUST LLC (THE),,,,,4405 GREENWAY,,BALTIMORE,MD,21218,304   097,8495 SAGEWOOD DR,GAINESVILLE,Forsyth,GA,30506,2.76,14-1 1072 LT 24 SAGEWOOD ,,,25000,,
Company,,,ATKINSON TRUST LLC (THE),,,,,4405 GREENWAY,,BALTIMORE,MD,21218,304   094,8460 SAGEWOOD DR,GAINESVILLE,Forsyth,GA,30506,1.34,14-1 1072 LT 21 SAGEWOOD ,,,13750,,
Company,,,ATKINSON TRUST LLC (THE),,,,,4405 GREENWAY,,BALTIMORE,MD,21218,304   095,8470 SAGEWOOD DR,GAINESVILLE,Forsyth,GA,30506,1.87,14-1 1072 LT 22 SAGEWOOD ,,,13750,,
Company,,,ATKINSON TRUST LLC (THE),,,,,4405 GREENWAY,,BALTIMORE,MD,21218,304   096,8480 SAGEWOOD DR,GAINESVILLE,Forsyth,GA,30506,2.9,14-1 1072 LT 23 SAGEWOOD ,,,13750,,
Individual,LIZABETH ANN,AUSHERMAN,,,,,,10125 HATTON CIR,,ORLANDO,FL,32832,319   143, LAN MAR RD,GAINESVILLE,Forsyth,GA,30506,1,14-1 1296 ,,,50000,,
Individual,HENRY F,BAGBY,,,,,,505 NATHAN THAXTON RD,,JACKSON,GA,30233,296   008, BETHEL RD,GAINESVILLE,Forsyth,GA,30506,12.6,14-1 1031 ,,,268880,,
Individual,HENRY F,BAGBY,,,,,,505 NATHAN THAXTON RD,,JACKSON,GA,30233,296   009,8202 LAKE HOLLOW DR,GAINESVILLE,Forsyth,GA,30506,0.5,14-1 1031 ,,,46660,,
Individual,JUERGEN F,BAHR,,,,,,1711 RUSTIC OAK LN,,SEABROOK,TX,77586,098   147, BOXER LN,CUMMING,Forsyth,GA,30028,2.82,3-1 774-811 TR 4 ,,,81980,,
Company,,,BAKER JAMES R ESTATE,,,,,382 TIMBERLINE DR,,DEMOREST,GA,30535,314   098T001,5455 APACHE TRL,GAINESVILLE,Forsyth,GA,30506,,MH ,,,10300,,
Individual,JOHN A,BAKER,,,,,,891 GOSS RD,,EPWORTH,GA,30541,221   413, BROOKWOOD DR,CUMMING,Forsyth,GA,30041,0.11,14-1 150 LT 294 HD-SS ,,,17500,,
Individual,PHILLIP N ETAL,BANNISTER,,,,,,3230 BROWN WOOD RD,,MADISON,GA,30650,271   054, BROWNS BRIDGE RD,GAINESVILLE,Forsyth,GA,30506,1,14-1 693 TR 2 (F\K\A 1-22 S\D LOTS),,,25000,,
Individual,GEORGE L,BARBEE,,,,,,997 NORTH RAILROAD AVE,,SYCAMORE,GA,31790,225   173,3495 SUMMIT TRL,CUMMING,Forsyth,GA,30041,0.69,14-1 181 LT 50 PH I SWEET WATER,,,30000,,
Individual,SAMANTHA B,BARBEE,,,,,,6375 CARRIAGE CT,,CUMMING,GA,30040,119   103,6385 CARRIAGE CT,CUMMING,Forsyth,GA,30040,0.59,3-1 410 LT53 PHI CARRIAGE ,,,16000,,229.93
Individual,SAMANTHA B,BARBEE,,,,,,6375 CARRIAGE CT,,CUMMING,GA,30040,119   105,6365 CARRIAGE CT,CUMMING,Forsyth,GA,30040,0.59,3-1 410 LT55 PHI CARRIAGE ,,,16000,,229.93
Company,,,BARRETT WILLIAM JR LIVING TRUST &,,,,,482 MINERS MOUNTAIN RD,,SAUTEE NACOOCHEE,GA,30571,147   129,5612 JOHN BURRUSS RD,CUMMING,Forsyth,GA,30040,0.9,3-1 552 PO TR 12 ,,,43200,,
Individual,SANDRA F/K/A,BARTEN,,,,,,3800 NICHOLASVILLE RD APT 11425,,LEXINGTON,KY,40503,281   075,8170 LITTLE MILL RD,GAINESVILLE,Forsyth,GA,30506,3.22,14-1 807 ,,,71970,,
Individual,PAUL,BASSETT,,,,,,1415 OLD FORSYTH RD,,MACON,GA,31210,243   090,3930 BRIDGEMAN CIR,CUMMING,Forsyth,GA,30041,0.82,14-1 358 LT 3-4-PO 2 RH NEWBUR ,,,224770,,
Individual,WILLARD D,BATY,,,,,,363 CLAREBURN TR,,CARNESVILLE,GA,30521,322   141, LAKE HARBOR TRL,GAINESVILLE,Forsyth,GA,30506,0.34,14-1 1338 LT 27  LAKE HARBOR SHORES ,,,22500,,
Individual,JAMES,BAXLEY,,,,,,5504 CAPE SAN BLAS RD,,PORT SAINT JOE,FL,32456,322   151T002,5320 CHEROKEE TRL,GAINESVILLE,Forsyth,GA,30506,,MH ,,,16200,,
Individual,JAMES A,BAXLEY,,,,,,5504 CAPE SAN BLAS RD,,PORT SAINT JOE,FL,32456,322   151,5320 CHEROKEE TRL,GAINESVILLE,Forsyth,GA,,0.43,14-1 1325-1338 LT 158  LAKE HARBOR SHORES ,,,25000,,1.05
Individual,MARTHA E,BAXLEY,,,,,,5330 CHEROKEE TRL,,GAINESVILLE,GA,30506,314   099,5340 CHEROKEE TRL,GAINESVILLE,Forsyth,GA,30506,0.35,14-1 1325-1338 LT 160  LAKE HARBOR SHO ,,,25000,,1.05
Individual,FREDERICK L JR,BEACH,,,,,,6124 DARTMOUTH DR,,BRADENTON,FL,34207,313   412, TRAIL CT,GAINESVILLE,Forsyth,GA,30506,0.21,14-1 1326 LT 110  PEBBLEB ROOK SHORES,,,5000,,
Company,,,BEAR GROUP INC  THE,,,,,8745 FOREST WILLOW TRL,,RENO,NV,89523,017   060,3840 HAMBY RD,ALPHARETTA,Forsyth,GA,30004,0.48,2-1 470-539 ,,,62500,,
Company,,,BEDINGFIELD SANDRA L C REV TRUST,,,,,PO BOX 13519,,ARLINGTON,TX,76094,C38   098, MABLE LAKE RD,CUMMING,Forsyth,GA,30041,0.44,2-1 76 LT 14-15 BLC FRSYT H SHORES,,,57000,,
Company,,,BEDINGFIELD SANDRA L C TRUST,,,,,PO BOX 13519,,ARLINGTON,TX,76094,C39   012, LANIER PL,CUMMING,Forsyth,GA,,0.41,2-1 140 LT 16 BL C FRSYTH SHORES,,,57000,,
Company,,,BEIERWALTES GUSTAVE A TRUST,,,,,6010 HIBISCUS DR,,BRADENTON,FL,34207,213   014, BURRUSS RD,CUMMING,Forsyth,GA,30028,8.43,14-1 126 TRACT C 8.43AC TO 213-051----1997,,,145420,,
Company,,,BELAMOMA LLC,,,,,PO BOX 82,,WAVERLY HALL,GA,31831,174   030,1605 DAVES CREEK RD,CUMMING,Forsyth,GA,30041,6.38,2-1 427 ,,,196190,,
Individual,ELIZABETH MRS,BELL,,,,,,1115 ADMIRAL XING,,ALPHARETTA,GA,30005,283   003, HICKORY HILLS RD,CUMMING,Forsyth,GA,30041,0.29,14-1 766 LOT 25 SEC A ,,,15000,,217.61
Company,,,BELLSOUTH MOBILITY INC,,,,,4017 WASHINGTON RD,PMB 353,MCMURRAY,PA,15317,088   040,2560 PINE GROVE RD,CUMMING,Forsyth,GA,30041,0.5,2-1 916 LEASED LAND ,,,63820,,
Individual,STEPHEN H,BENNETT,,,,,,6620 GEORGE CT,,CUMMING,GA,30041,281   068,6620 GEORGE CT,CUMMING,Forsyth,GA,30041,1.38,14-1 841 ,,,27600,,163.26
Company,,,BERGMANN MARILYN TRUST,,,,,2200 GLENVIEW AVE,,PARK RIDGE,IL,60068,259   218,7280 TIMBER TRL,CUMMING,Forsyth,GA,30041,0.62,14-1 560 ,,,208000,,
Individual,MARVIN,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   234,3035 HAMILTON RD,CUMMING,Forsyth,GA,30041,0.34,14-1 160 LT 27 BL C UN IV  LCCE,,,45000,,
Individual,MARVIN,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   271, CARLTON RD & LAKESHORE DR ,CUMMING,Forsyth,GA,30041,0.45,14-1 185 LT 23 BL B UN IV LCCE,,,45000,,
Individual,MARVIN,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   314, CARLTON RD,CUMMING,Forsyth,GA,30041,0.49,14-1 160 LT 15 BL D UN IV LCCE,,,45000,,
Individual,MARVIN,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,C38   076, ALLENDALE DR,CUMMING,Forsyth,GA,30041,0.28,2-1 77 LT 66 UN 2 LCCE ,,,45000,,
Individual,MARVIN,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,C39   071, SANDERS RD,CUMMING,Forsyth,GA,30041,0.34,2-1 149 LT29 BL B UN1 LCC E,,,45000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,198   208, TIMBER LAKE TRL,CUMMING,Forsyth,GA,30041,0.34,2-1 141 LT5 UN1 BL A LCCE ,,,313500,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,198   209, TIMBER LAKE TRL,CUMMING,Forsyth,GA,30041,0.34,2-1 141 LT6 UN1 BL A LCCE ,,,313500,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,198   210, TIMBER LAKE TRL,CUMMING,Forsyth,GA,30041,0.34,2-1 141 LT7 UN1 BL A LCCE ,,,313500,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   055, 224   055 ,,Forsyth,GA,,0.61,14-1 42 LT 32 BL H UN IV  LCCE,,,142500,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   299, 224   299 ,,Forsyth,GA,,0.34,14-1 185 LT 25 BL A UN IV  LCCE,,,85500,,
Individual,RONALD J,BERKE,,,,,,P O BOX 4747,,CHATTANOOGA,TN,37405,224   074, BROOK VALLEY DR,CUMMING,Forsyth,GA,30041,0.29,14-1 77 LT 54 BL F UN IV  LCCE,,,57000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   075, BROOK VALLEY DR,CUMMING,Forsyth,GA,30041,0.29,14-1 77 LT 53 BL F UN IV  LCCE,,,57000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   076, BROOK VALLEY DR,CUMMING,Forsyth,GA,30041,0.29,14-1 77 LT 52 BL F UN IV  LCCE,,,57000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   077, BROOK VALLEY DR,CUMMING,Forsyth,GA,30041,0.29,14-1 77 LT 51 BL F UN IV  LCCE,,,57000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   078, BROOK VALLEY DR,CUMMING,Forsyth,GA,30041,0.29,14-1 77 LT 50 BL F UN IV  LCCE,,,57000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   304,3110 CARLTON RD,CUMMING,Forsyth,GA,30041,0.3,14-1 184 LT 30 BL A UN IV  LCCE,,,57000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   305,3090 224   305 ,CUMMING,Forsyth,GA,30041,0.33,14-1 184 LT 31 BL A UN IV  LCCE,,,57000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   306,3080 CARLTON RD,CUMMING,Forsyth,GA,30041,0.34,14-1 184 LT 32 BL A UN IV  LCCE,,,57000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   080, BROOK VALLEY DR,CUMMING,Forsyth,GA,30041,0.31,14-1 77 LT 48 BL F UN IV  LCCE,,,45000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   082,2685 BROOK VALLEY DR,CUMMING,Forsyth,GA,30041,0.35,14-1 77 LT 46 BL F UN IV  LCCE,,,45000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   223, HAMILTON RD,CUMMING,Forsyth,GA,30041,0.34,14-1 160 LT 38 BL C UN IV LCCE,,,45000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   046, REBEL RD,CUMMING,Forsyth,GA,30041,0.28,14-1 77 LT 23 BL G UN IV  LCCE,,,36000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   049,  ,,Forsyth,GA,,0.34,14-1 42-77 LT 26 BL G UN IV  LCCE,,,36000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   050,  ,,Forsyth,GA,,0.39,14-1 42 LT 27 BL G UN IV  LCCE,,,36000,,
Individual,RONALD J,BERKE,,,,,,PO BOX 4747,,CHATTANOOGA,TN,37405,224   081, BROOK VALLEY DR,CUMMING,Forsyth,GA,30041,0.41,14-1 77 LT 47 BL F UN IV  LCCE,,,31500,,
Company,,,BETHEL HOMES LLC,,,,,29 LEXINGTON RD,,RICHMOND,VA,23226,309   024,8525 LYONESSE DR,GAINESVILLE,Forsyth,GA,30506,0.74,14-1 1086 LT10 LYONESSE ESTATES,,,150000,,
Individual,VICKIE,BETHEL,,,,,,2952 HUNTERS LN,,OVIEDO,FL,32766,302   063,8155 ARMOR CT,GAINESVILLE,Forsyth,GA,30506,0.89,14-1 1199 LT 15 ,,,15000,,
Company,,,BGL CHICOPEE PROPERTIES LLC,,,,,PO BOX 130,,BOGART,GA,30622,079   004,3616 BETHELVIEW RD,CUMMING,Forsyth,GA,30040,3.32,3-1 1212 ,,,123040,,
Company,,,BGL-CHICOPEE PROPERTIES LLC,,,,,PO BOX 130,,BOGART,GA,30622,043   036, BLUEGRASS LAKES PKWY,ALPHARETTA,Forsyth,GA,30004,2.44,2-1 894-895-906-907 ,,,225600,,
Individual,MARILYN A,BIBENS,,,,,,76-4331 LEILANI ST,,KAILUA KONA,HI,96740,289   122,7383 WITS END DR,GAINESVILLE,Forsyth,GA,30506,3.06,14-1 906 TRACT C ,,,57530,,
Individual,GERTRUDE H,BIGGS,,,,,,PO BOX 184,,CARNESVILLE,GA,30521,097   080,2805 PLEASANT DR,CUMMING,Forsyth,GA,30028,12,3-1 701-702 ,,,241680,,
Individual,MICHAEL B,BILBREY,,,,,,1694 HWY 138 NE,,CONYERS,GA,30013,076   079, BUSINESS DR,CUMMING,Forsyth,GA,30028,2,3-1 949 LT13 20 WEST IND PARK,,,220000,,
Company,,,BIRCH COMMUNICATIONS INC,,,,,100 CONGRESS AVE,SUITE 1900,AUSTIN,TX,78701,331   030, PUBLIC UTILITY ,,Forsyth,GA,,0,PUBLIC UTILITY COUNTY UNINCORPORATED,,,6851,,
